state,feature,mean_mining,mean_resto,delta,magnitude,separable
Para,corr_vh_p10,0.6454625411677234,0.5654246072122642,0.6340373255932377,large,True
Para,diss_vh_mean,1874.9954387922103,1658.115124093399,0.6007861489386466,large,True
Para,diss_vh_p10,1666.3367273227057,1475.2052258031365,0.5981109874441679,large,True
Para,VV_stdDev,3.1099041423735594,2.465752106014373,0.5946222156751488,large,True
Para,corr_vh_p90,0.7954382027034227,0.7307843922271069,0.5937099446408567,large,True
Para,contrast_vh_p10,4653903.495312551,3630246.609172424,0.5923388328750383,large,True
Para,tpi,-2.841581529672302,0.24545379573925521,-0.5881929895392315,large,True
Para,contrast_vh_mean,5978202.747666706,4668594.714142336,0.5793572592495599,large,True
Para,VH_stdDev,3.333896708015992,2.699346200963578,0.5738862700595055,large,True
Para,diss_vh_p90,2085.6452341746326,1849.401955694154,0.544144643039006,large,True
Para,corr_vv_p10,0.6437175377773041,0.5816501222606358,0.5304149753393566,large,True
Para,contrast_vh_p90,7384140.282126913,5816932.055072678,0.5157938599362752,large,True
Para,corr_vv_mean,0.7190997487437374,0.6637897548684172,0.5137599479143933,large,True
Para,VV_minus_VH_p90,11.365477346183445,10.322010965463363,0.4688055137270306,medium,False
Para,VV_minus_VH_mean,7.482235785534723,6.746538266871152,0.4591720407227968,medium,False
Para,VV_minus_VH_p10,3.7098395012465932,3.2272683254462935,0.3393114479216679,medium,False
Roraima,contrast_vv_mean,4728338.620440799,3683208.7851694343,0.714322468339706,large,True
Roraima,diss_vv_mean,1682.4964949789833,1493.6456408096792,0.7097151782382636,large,True
Roraima,diss_vv_p90,1905.3012057622577,1657.4198054011883,0.6976303931523808,large,True
Roraima,contrast_vv_p90,6064678.204277294,4519901.10171792,0.69527292035592,large,True
Roraima,VV_stdDev,3.197752518953228,2.4632629999265574,0.6681765805513968,large,True
Roraima,corr_vv_mean,0.7278787813766888,0.6637451601806726,0.6374655707702568,large,True
Roraima,corr_vh_mean,0.7111933082557964,0.6486509437213217,0.6032493711733262,large,True
Roraima,contrast_vv_p10,3580504.3882141397,2941209.2397363256,0.599096423739313,large,True
Roraima,diss_vv_p10,1475.3322684254877,1340.53348939214,0.5909930671688157,large,True
Roraima,corr_vv_p10,0.6468136024630383,0.582735964988893,0.5901208752208991,large,True
Roraima,dist_river,12.817466129511091,31.330655468387242,-0.5858037075456464,large,True
Roraima,corr_vv_p90,0.8005704389132163,0.7418178002369532,0.5787440618416935,large,True
Roraima,corr_vh_p90,0.7859744527859462,0.7277603079335967,0.5612144634240468,large,True
Roraima,VH_stdDev,3.3367483294992555,2.714406834497296,0.5556455725766793,large,True
Roraima,corr_vh_p10,0.6286007404831783,0.5662534693804043,0.5531220548696318,large,True
